label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_HttpHostConnectException
,2.04918,0.00000,2.04931,306795,1,113,2.04789,0,113,2.01600,2.03300,2.10200,2.17000,2.23200,2.25600,2.25600,113
mas/CN,2.02967,0.00000,2.03000,8145,2,3,2.02797,0,3,2.02500,2.03100,2.03400,2.03400,2.03400,2.03400,2.03400,3
upm,2.05304,0.00000,2.05319,73305,5,27,2.05172,0,27,2.01700,2.03600,2.10200,2.14600,2.21400,2.21400,2.21400,27
r/XX,2.02950,0.00000,2.02950,5430,5,2,2.02748,0,2,2.02200,2.02200,2.03700,2.03700,2.03700,2.03700,2.03700,2
uu,2.04402,0.00000,2.04414,119460,1,44,2.04255,0,44,2.01600,2.03400,2.09800,2.10200,2.20800,2.20800,2.20800,44
pma/23,2.01700,0.00000,2.01700,2715,5,1,2.01498,0,1,2.01700,2.01700,2.01700,2.01700,2.01700,2.01700,2.01700,1
ur,2.06775,0.00000,2.06775,10860,5,4,2.06671,0,4,2.01900,2.02600,2.17800,2.17800,2.17800,2.17800,2.17800,4
wpm,2.07000,0.00000,2.07020,13575,5,5,2.06993,0,5,2.02300,2.02800,2.23200,2.23200,2.23200,2.23200,2.23200,5
cu,2.03850,0.00000,2.03900,10860,5,4,2.03705,0,4,2.02200,2.02400,2.06800,2.06800,2.06800,2.06800,2.06800,4
pma/1,2.03200,0.00000,2.03200,8145,5,3,2.03000,0,3,2.01600,2.03500,2.04500,2.04500,2.04500,2.04500,2.04500,3
u,2.07333,0.00000,2.07333,8145,5,3,2.07242,0,3,2.01800,2.03100,2.17000,2.17000,2.17000,2.17000,2.17000,3
pma/7,2.03450,0.00000,2.03450,16290,5,6,2.03257,0,6,2.01800,2.02000,2.07400,2.07400,2.07400,2.07400,2.07400,6
pd,2.03200,0.00000,2.03300,2715,5,1,2.03097,0,1,2.03300,2.03300,2.03300,2.03300,2.03300,2.03300,2.03300,1
pma/4,2.05950,0.00000,2.05950,10860,5,4,2.05794,0,4,2.02500,2.03400,2.10200,2.10200,2.10200,2.10200,2.10200,4
id,2.12733,0.00000,2.12733,8145,5,3,2.12744,0,3,2.02200,2.10200,2.25600,2.25600,2.25600,2.25600,2.25600,3
cc,2.02433,0.00000,2.02467,8145,5,3,2.02264,0,3,2.02200,2.02500,2.02700,2.02700,2.02700,2.02700,2.02700,3
